agent,lr,num_recall,seed,grid_size,beta
qparsr,0.3,100,9,11,5
qparsr,0.3,100,9,15,5
qparsr,0.3,100,9,19,5
qparsr,0.3,100,9,23,5
qparsr,0.3,300,0,11,5
qparsr,0.3,300,0,15,5
qparsr,0.3,300,0,19,5
qparsr,0.3,300,0,23,5
qparsr,0.3,300,1,11,5
qparsr,0.3,300,1,15,5
qparsr,0.3,300,1,19,5
qparsr,0.3,300,1,23,5
qparsr,0.3,300,2,11,5
qparsr,0.3,300,2,15,5
qparsr,0.3,300,2,19,5
qparsr,0.3,300,2,23,5
qparsr,0.3,300,3,11,5
qparsr,0.3,300,3,15,5
qparsr,0.3,300,3,19,5
qparsr,0.3,300,3,23,5
qparsr,0.3,300,4,11,5
qparsr,0.3,300,4,15,5
qparsr,0.3,300,4,19,5
qparsr,0.3,300,4,23,5
qparsr,0.3,300,5,11,5
qparsr,0.3,300,5,15,5
qparsr,0.3,300,5,19,5
qparsr,0.3,300,5,23,5
qparsr,0.3,300,6,11,5
qparsr,0.3,300,6,15,5
qparsr,0.3,300,6,19,5
qparsr,0.3,300,6,23,5
qparsr,0.3,300,7,11,5
qparsr,0.3,300,7,15,5
qparsr,0.3,300,7,19,5
qparsr,0.3,300,7,23,5
qparsr,0.3,300,8,11,5
qparsr,0.3,300,8,15,5
qparsr,0.3,300,8,19,5
qparsr,0.3,300,8,23,5
qparsr,0.3,300,9,11,5
qparsr,0.3,300,9,15,5
qparsr,0.3,300,9,19,5
qparsr,0.3,300,9,23,5
qparsr,0.3,1000,0,11,5
qparsr,0.3,1000,0,15,5
qparsr,0.3,1000,0,19,5
qparsr,0.3,1000,0,23,5
qparsr,0.3,1000,1,11,5
qparsr,0.3,1000,1,15,5
qparsr,0.3,1000,1,19,5
qparsr,0.3,1000,1,23,5
qparsr,0.3,1000,2,11,5
qparsr,0.3,1000,2,15,5
qparsr,0.3,1000,2,19,5
qparsr,0.3,1000,2,23,5
qparsr,0.3,1000,3,11,5
qparsr,0.3,1000,3,15,5
qparsr,0.3,1000,3,19,5
qparsr,0.3,1000,3,23,5
qparsr,0.3,1000,4,11,5
qparsr,0.3,1000,4,15,5
qparsr,0.3,1000,4,19,5
qparsr,0.3,1000,4,23,5
qparsr,0.3,1000,5,11,5
qparsr,0.3,1000,5,15,5
qparsr,0.3,1000,5,19,5
qparsr,0.3,1000,5,23,5
qparsr,0.3,1000,6,11,5
qparsr,0.3,1000,6,15,5
qparsr,0.3,1000,6,19,5
qparsr,0.3,1000,6,23,5
qparsr,0.3,1000,7,11,5
qparsr,0.3,1000,7,15,5
qparsr,0.3,1000,7,19,5
qparsr,0.3,1000,7,23,5
qparsr,0.3,1000,8,11,5
qparsr,0.3,1000,8,15,5
qparsr,0.3,1000,8,19,5
qparsr,0.3,1000,8,23,5
qparsr,0.3,1000,9,11,5
qparsr,0.3,1000,9,15,5
qparsr,0.3,1000,9,19,5
qparsr,0.3,1000,9,23,5
qparsr,0.3,3000,0,11,5
qparsr,0.3,3000,0,15,5
qparsr,0.3,3000,0,19,5
qparsr,0.3,3000,0,23,5
qparsr,0.3,3000,1,11,5
qparsr,0.3,3000,1,15,5
qparsr,0.3,3000,1,19,5
qparsr,0.3,3000,1,23,5
qparsr,0.3,3000,2,11,5
qparsr,0.3,3000,2,15,5
qparsr,0.3,3000,2,19,5
qparsr,0.3,3000,2,23,5
qparsr,0.3,3000,3,11,5
qparsr,0.3,3000,3,15,5
qparsr,0.3,3000,3,19,5
qparsr,0.3,3000,3,23,5
qparsr,0.3,3000,4,11,5
qparsr,0.3,3000,4,15,5
qparsr,0.3,3000,4,19,5
qparsr,0.3,3000,4,23,5
qparsr,0.3,3000,5,11,5
qparsr,0.3,3000,5,15,5
qparsr,0.3,3000,5,19,5
qparsr,0.3,3000,5,23,5
qparsr,0.3,3000,6,11,5
qparsr,0.3,3000,6,15,5
qparsr,0.3,3000,6,19,5
qparsr,0.3,3000,6,23,5
qparsr,0.3,3000,7,11,5
qparsr,0.3,3000,7,15,5
qparsr,0.3,3000,7,19,5
qparsr,0.3,3000,7,23,5
qparsr,0.3,3000,8,11,5
qparsr,0.3,3000,8,15,5
qparsr,0.3,3000,8,19,5
qparsr,0.3,3000,8,23,5
qparsr,0.3,3000,9,11,5
qparsr,0.3,3000,9,15,5
qparsr,0.3,3000,9,19,5
qparsr,0.3,3000,9,23,5
qparsr,0.3,10000,0,11,5
qparsr,0.3,10000,0,15,5
qparsr,0.3,10000,0,19,5
qparsr,0.3,10000,0,23,5
qparsr,0.3,10000,1,11,5
qparsr,0.3,10000,1,15,5
qparsr,0.3,10000,1,19,5
qparsr,0.3,10000,1,23,5
qparsr,0.3,10000,2,11,5
qparsr,0.3,10000,2,15,5
qparsr,0.3,10000,2,19,5
qparsr,0.3,10000,2,23,5
qparsr,0.3,10000,3,11,5
qparsr,0.3,10000,3,15,5
qparsr,0.3,10000,3,19,5
qparsr,0.3,10000,3,23,5
qparsr,0.3,10000,4,11,5
qparsr,0.3,10000,4,15,5
qparsr,0.3,10000,4,19,5
qparsr,0.3,10000,4,23,5
qparsr,0.3,10000,5,11,5
qparsr,0.3,10000,5,15,5
qparsr,0.3,10000,5,19,5
qparsr,0.3,10000,5,23,5
qparsr,0.3,10000,6,11,5
qparsr,0.3,10000,6,15,5
qparsr,0.3,10000,6,19,5
qparsr,0.3,10000,6,23,5
qparsr,0.3,10000,7,11,5
qparsr,0.3,10000,7,15,5
qparsr,0.3,10000,7,19,5
qparsr,0.3,10000,7,23,5
qparsr,0.3,10000,8,11,5
qparsr,0.3,10000,8,15,5
qparsr,0.3,10000,8,19,5
qparsr,0.3,10000,8,23,5
qparsr,0.3,10000,9,11,5
qparsr,0.3,10000,9,15,5
qparsr,0.3,10000,9,19,5
qparsr,0.3,10000,9,23,5
dynasr,0.3,100,0,11,5
dynasr,0.3,100,0,15,5
dynasr,0.3,100,0,19,5
dynasr,0.3,100,0,23,5
dynasr,0.3,100,1,11,5
dynasr,0.3,100,1,15,5
dynasr,0.3,100,1,19,5
dynasr,0.3,100,1,23,5
dynasr,0.3,100,2,11,5
dynasr,0.3,100,2,15,5
dynasr,0.3,100,2,19,5
dynasr,0.3,100,2,23,5
dynasr,0.3,100,3,11,5
dynasr,0.3,100,3,15,5
dynasr,0.3,100,3,19,5
dynasr,0.3,100,3,23,5
dynasr,0.3,100,4,11,5
dynasr,0.3,100,4,15,5
dynasr,0.3,100,4,19,5
dynasr,0.3,100,4,23,5
dynasr,0.3,100,5,11,5
dynasr,0.3,100,5,15,5
dynasr,0.3,100,5,19,5
dynasr,0.3,100,5,23,5
dynasr,0.3,100,6,11,5
dynasr,0.3,100,6,15,5
dynasr,0.3,100,6,19,5
dynasr,0.3,100,6,23,5
dynasr,0.3,100,7,11,5
dynasr,0.3,100,7,15,5
dynasr,0.3,100,7,19,5
dynasr,0.3,100,7,23,5
dynasr,0.3,100,8,11,5
dynasr,0.3,100,8,15,5
dynasr,0.3,100,8,19,5
dynasr,0.3,100,8,23,5
dynasr,0.3,100,9,11,5
dynasr,0.3,100,9,15,5
dynasr,0.3,100,9,19,5
dynasr,0.3,100,9,23,5
dynasr,0.3,300,0,11,5
dynasr,0.3,300,0,15,5
dynasr,0.3,300,0,19,5
dynasr,0.3,300,0,23,5
dynasr,0.3,300,1,11,5
dynasr,0.3,300,1,15,5
dynasr,0.3,300,1,19,5
dynasr,0.3,300,1,23,5
dynasr,0.3,300,2,11,5
dynasr,0.3,300,2,15,5
dynasr,0.3,300,2,19,5
dynasr,0.3,300,2,23,5
dynasr,0.3,300,3,11,5
dynasr,0.3,300,3,15,5
dynasr,0.3,300,3,19,5
dynasr,0.3,300,3,23,5
dynasr,0.3,300,4,11,5
dynasr,0.3,300,4,15,5
dynasr,0.3,300,4,19,5
dynasr,0.3,300,4,23,5
dynasr,0.3,300,5,11,5
dynasr,0.3,300,5,15,5
dynasr,0.3,300,5,19,5
dynasr,0.3,300,5,23,5
dynasr,0.3,300,6,11,5
dynasr,0.3,300,6,15,5
dynasr,0.3,300,6,19,5
dynasr,0.3,300,6,23,5
dynasr,0.3,300,7,11,5
dynasr,0.3,300,7,15,5
dynasr,0.3,300,7,19,5
dynasr,0.3,300,7,23,5
dynasr,0.3,300,8,11,5
dynasr,0.3,300,8,15,5
dynasr,0.3,300,8,19,5
dynasr,0.3,300,8,23,5
dynasr,0.3,300,9,11,5
dynasr,0.3,300,9,15,5
dynasr,0.3,300,9,19,5
dynasr,0.3,300,9,23,5
dynasr,0.3,1000,0,11,5
dynasr,0.3,1000,0,15,5
dynasr,0.3,1000,0,19,5
dynasr,0.3,1000,0,23,5
dynasr,0.3,1000,1,11,5
dynasr,0.3,1000,1,15,5
dynasr,0.3,1000,1,19,5
dynasr,0.3,1000,1,23,5
dynasr,0.3,1000,2,11,5
dynasr,0.3,1000,2,15,5
dynasr,0.3,1000,2,19,5
dynasr,0.3,1000,2,23,5
dynasr,0.3,1000,3,11,5
dynasr,0.3,1000,3,15,5
dynasr,0.3,1000,3,19,5
dynasr,0.3,1000,3,23,5
dynasr,0.3,1000,4,11,5
dynasr,0.3,1000,4,15,5
dynasr,0.3,1000,4,19,5
dynasr,0.3,1000,4,23,5
dynasr,0.3,1000,5,11,5
dynasr,0.3,1000,5,15,5
dynasr,0.3,1000,5,19,5
dynasr,0.3,1000,5,23,5
dynasr,0.3,1000,6,11,5
dynasr,0.3,1000,6,15,5
dynasr,0.3,1000,6,19,5
dynasr,0.3,1000,6,23,5
dynasr,0.3,1000,7,11,5
dynasr,0.3,1000,7,15,5
dynasr,0.3,1000,7,19,5
dynasr,0.3,1000,7,23,5
dynasr,0.3,1000,8,11,5
dynasr,0.3,1000,8,15,5
dynasr,0.3,1000,8,19,5
dynasr,0.3,1000,8,23,5
dynasr,0.3,1000,9,11,5
dynasr,0.3,1000,9,15,5
dynasr,0.3,1000,9,19,5
dynasr,0.3,1000,9,23,5
dynasr,0.3,3000,0,11,5
dynasr,0.3,3000,0,15,5
dynasr,0.3,3000,0,19,5
dynasr,0.3,3000,0,23,5
dynasr,0.3,3000,1,11,5
dynasr,0.3,3000,1,15,5
dynasr,0.3,3000,1,19,5
dynasr,0.3,3000,1,23,5
dynasr,0.3,3000,2,11,5
dynasr,0.3,3000,2,15,5
dynasr,0.3,3000,2,19,5
dynasr,0.3,3000,2,23,5
dynasr,0.3,3000,3,11,5
dynasr,0.3,3000,3,15,5
dynasr,0.3,3000,3,19,5
dynasr,0.3,3000,3,23,5
dynasr,0.3,3000,4,11,5
dynasr,0.3,3000,4,15,5
dynasr,0.3,3000,4,19,5
dynasr,0.3,3000,4,23,5
dynasr,0.3,3000,5,11,5
dynasr,0.3,3000,5,15,5
dynasr,0.3,3000,5,19,5
dynasr,0.3,3000,5,23,5
dynasr,0.3,3000,6,11,5
dynasr,0.3,3000,6,15,5
dynasr,0.3,3000,6,19,5
dynasr,0.3,3000,6,23,5
dynasr,0.3,3000,7,11,5
dynasr,0.3,3000,7,15,5
dynasr,0.3,3000,7,19,5
dynasr,0.3,3000,7,23,5
dynasr,0.3,3000,8,11,5
dynasr,0.3,3000,8,15,5
dynasr,0.3,3000,8,19,5
dynasr,0.3,3000,8,23,5
dynasr,0.3,3000,9,11,5
dynasr,0.3,3000,9,15,5
dynasr,0.3,3000,9,19,5
dynasr,0.3,3000,9,23,5
dynasr,0.3,10000,0,11,5
dynasr,0.3,10000,0,15,5
dynasr,0.3,10000,0,19,5
dynasr,0.3,10000,0,23,5
dynasr,0.3,10000,1,11,5
dynasr,0.3,10000,1,15,5
dynasr,0.3,10000,1,19,5
dynasr,0.3,10000,1,23,5
dynasr,0.3,10000,2,11,5
dynasr,0.3,10000,2,15,5
dynasr,0.3,10000,2,19,5
dynasr,0.3,10000,2,23,5
dynasr,0.3,10000,3,11,5
dynasr,0.3,10000,3,15,5
dynasr,0.3,10000,3,19,5
dynasr,0.3,10000,3,23,5
dynasr,0.3,10000,4,11,5
dynasr,0.3,10000,4,15,5
dynasr,0.3,10000,4,19,5
dynasr,0.3,10000,4,23,5
dynasr,0.3,10000,5,11,5
dynasr,0.3,10000,5,15,5
dynasr,0.3,10000,5,19,5
dynasr,0.3,10000,5,23,5
dynasr,0.3,10000,6,11,5
dynasr,0.3,10000,6,15,5
dynasr,0.3,10000,6,19,5
dynasr,0.3,10000,6,23,5
dynasr,0.3,10000,7,11,5
dynasr,0.3,10000,7,15,5
dynasr,0.3,10000,7,19,5
dynasr,0.3,10000,7,23,5
dynasr,0.3,10000,8,11,5
dynasr,0.3,10000,8,15,5
dynasr,0.3,10000,8,19,5
dynasr,0.3,10000,8,23,5
dynasr,0.3,10000,9,11,5
dynasr,0.3,10000,9,15,5
dynasr,0.3,10000,9,19,5
dynasr,0.3,10000,9,23,5
